company_name,scraped_data
Home,"Home Goods Mission, Vision & Values Home Goods Mission & Values Our mission is always to bring you and your family exceptional value every day – it is the foundation of our business.Home Goods Mission, Vision & Values"
Hampden-Sydney College,null
SanMar,"San Mar Mission, Vision & Values San Mar Mission Statement Our commitment to corporate responsibility combines all of our San Mar Family Values, driving us to support the people who create, ship and sell our apparel and accessories; to deliver quality, sustainable products that are ethically and responsibly sourced; and to do the right thing for our planet.San Mar Vision Statement Combining integrity with exellence to ensure prosperity to all stakeholders on a continious basis.San Mar Values Integrity Excellence Stakeholder prosperity Continuous basis San Mar Mission, Vision & Values"
Taylor University,null
Chamberlain University,null
PFM,null
Waterway Carwash,null
Florida House of Representatives,null
Clinique,"Clinique Mission, Vision & Values Clinique Mission & Values Clinique's mission today remains what it was from the beginning: to provide the highest quality and most effective products to enhance every skin type and concern, offering products for men and women of all ages and ethnicities.Clinique Mission, Vision & Values"
"Healthcare Services Group, Inc","Healthcare Services Group Mission, Vision & Values Healthcare Services Group Mission Statement To protect and promote quality healthcare, we are a trusted provider of innovative, comprehensive, fairly-priced, high-quality insurance products and services for hospitals, physicians and other healthcare providers.Healthcare Services Group Vision Statement To be the preferred, trusted partner to healthcare providers delivering substantially more value than the competition by continually enhancing products and services that allow our customers to better serve their patients and communities.Healthcare Services Group Values Beneficent Collaborative Ethical Loyal Good Stewards Healthcare Services Group Mission, Vision & Values"
Thumbtack,"Thumbtack Mission, Vision & Values Thumbtack Mission Statement To help everyone do life's work with joy and purpose.Thumbtack Values Lead With Why Make It Count Own It Choose Teamwork Say What You Mean Thumbtack Mission, Vision & Values"
Confidential,null
Palmer College of Chiropractic,null
"Mercy Medical Center, Canton, Ohio",null
City of Lakeland,null
Public Health Management Corporation,null
Flex,null
Cornell University College of Veterinary Medicine,null
Colorado Judicial Branch,null
SavaSeniorCare Administrative Services LLC,null
San Francisco Public Library,"Friends of the San Francisco Public Library Mission, Vision & Values Friends of the San Francisco Public Library Mission & Values Formally established in 1999 and originally called Friends and Foundation, Friends of the San Francisco Public Library is the union of the Friends of the San Francisco Public Library and the Library Foundation of San Francisco. Friends of the San Francisco Public Library advocates, fundraises, and provides critical support for the San Francisco Public Library and related literary and educational programs. Our mission is to create, steward, and support a superior, free public library system in San Francisco. We are committed to raising the standard of excellence of our libraries by funding programs and services beyond what is allocated in the City's budget. We believe in free and equal access to information for all."
ACS,null
Hampton University,null
Galvanize Inc,"Top Golf Mission, Vision & Values Top Golf Mission Statement Belief: We believe in the unlimited power of play. 
"
Purpose: We exist to bring you joy through more ways to play the game of golf. ,null
Mission: Our mission is to enable our players to hit 50 billion golf balls from 2022 through 2025.Top Golf Vision Statement Our North Star: More Play. Play More.,null
Our culture: The Spirit of the Shield, Core Values
Cuyahoga Community College,null
National Notary Association,null
Westwood One,"Westwood One Mission, Vision & Values Westwood One Mission & Values Westwood One and Cumulus’s mission is to create unique experiential opportunities and custom programs that connect consumer brands, artists, and their passionate fans through immersive and measurable marketing experiences.Westwood One Mission, Vision & Values"
St. Joseph Medical Center,null
San Francisco Giants,null
"Coborn's, Inc.",null
CareerBuilder,"Career Builder Mission, Vision & Values Career Builder Mission Statement Build personal success for all. 
"
We believe that everybody should be able to build toward a career that gives them a sense of purpose.,null
That’s why, at Career Builder
Because more meaningful matches between people and employers means everybody wins.Career Builder Values Candor Agility Accountability Passion Innovation Career Builder Mission," Vision & Values"""
First National Bank,"First National Bank Mission, Vision & Values First National Bank Mission Statement To help our customers achieve economic success and financial security by building enduring, mutually beneficial relationships based on trust and integrity.
"
To build a diverse workforce where employees can learn, grow and prosper as contributing members of a winning team.
To create a sustainable, long-term value for our shareholders.
To improve the quality of life in the communities we serve.First National Bank Vision Statement Our vision is to be an industry leader in creating value for our customers, employees
Dewey & LeBoeuf LLP,null
Producers Guild of America,null
Indigo,"Indigo Golf Partners Mission, Vision & Values Indigo Golf Partners Mission Statement To provide a fun and enjoyable experiences for our Employees, Clients and Guests.Indigo Golf Partners Vision Statement To be the best operator in the history of golf.Indigo Golf Partners Values Growth - we develop our team, advance our businesses and elevate the industry.Responsibility - we own a culture of safety, accountability and sustainability.Innovation - we lead with an entrepreneurial spirit fueled by data, creativity and collaboration.Team - we ACE experiences together.Indigo Golf Partners Mission, Vision & Values"
Toyota Motor Sales,"Toyota Motor Sales Mission, Vision & Values Toyota Motor Sales Mission & Values To attract and attain customers with high-valued products and services and the most satisfying ownership experience in America.Toyota Motor Sales Mission, Vision & Values"
Planned Parenthood,"Planned Parenthood Mission, Vision & Values Planned Parenthood Mission & Valuesto provide comprehensive reproductive and complementary health care services in settings which preserve and protect the essential privacy and rights of each individual;  To advocate public policies which guarantee these rights and ensure access to such services;  to provide educational programs which enhance understanding of individual and societal implications of human sexuality;  to promote research and the advancement of technology in reproductive health care and encourage understanding of their inherent bioethical, behavioral, and social implications.Planned Parenthood Mission, Vision & Values"
Exponent,"Exponent Mission, Vision & Values Exponent Mission & Values Exponent is a multi-disciplinary firm whose mission is: to provide clients with objective solutions for their important science, engineering, and business problems by attracting, developing, exciting, and rewarding exceptional people that will build shareholder value Exponent Mission, Vision & Values"
ROSS DRESS FOR LESS,null
Black Hills State University,null
UScellular,"Cellular Sales Mission, Vision & Values Cellular Sales Mission & Values This dedication to our customers has become our corporate mission and is the backbone of our success.Cellular Sales Mission, Vision & Values"
Los Angeles County Office of Education,null
ICONMA,"ICONMA Mission, Vision & ValuesICONMA Mission & ValuesICONMA’s mission is to deliver comprehensive services through Strategic Staffing and Technology Solutions. We connect clients with exceptional talent to achieve hiring goals. With our Technology Solutions, we customize services to provide enhanced productivity and significant cost savings to our clients.ICONMA Vision Statement To be an indispensable partner by providing highly effective and innovative solutions to best match each client’s needs.ICONMA Mission, Vision & Values"
Coca-Cola Consolidated,null
Twin Cities Orthopedics,null
"Vistar, A PFG Company",null
Umpqua Bank,"Umpqua Bank Mission, Vision & Values Umpqua Bank Mission & Values We’re on a mission to help you manage your money in a way that matches how you live your life. To do that, we’re committed to learning more about you than your account number.Umpqua Bank Mission, Vision & Values"
Protection 1 Security Solutions,null
Cogent Communications,"Cogent Communications Mission, Vision & Values Cogent Communications Mission Statement Our innovative, facilities-based network spans across North America, across the Atlantic throughout Europe, and across the Pacific to Asia Cogent Communications Vision Statement We have become widely recognized as one of the largest carriers of Internet traffic in the world.Cogent Communications Values Diversity Customer Prices Communications Cogent Communications Mission, Vision & Values"
CIEE Council on International Educational Exchange,null
Generac Power Systems,"Generac Power Systems Mission, Vision & Values Generac Power Systems Mission & Values Our team's number one priority is to meet customer's expectations and ensure their peace of mind by delivering a quality product and ownership experience at an excellent value. By satisfying our customers, we continue to prosper and grow, building a more secure future for our people and creating value for our stakeholders.Generac Power Systems Mission, Vision & Values"
Hannaford Supermarkets,"Hannaford Supermarket Mission, Vision & Values Hannaford Supermarket Mission & Values When it comes to selling groceries, we're refreshingly different - and that's a good thing. Our goal is to provide quality fresh foods, great service and dependable value. Our customers are our friends and neighbors and we pride ourselves on being a part of our local communities in Maine, New Hampshire, Massachusetts, New York and Vermont. We care deeply about the fresh foods we choose to carry in our stores and we love to discover and share new foods and flavors with our customers.Hannaford Supermarket Mission, Vision & Values"
KCTCS,null
San Joaquin County Office of Education,null
"Capstone Logistics, LLC",null
Southern Wesleyan University,null
The Brookings Institution,null
Express Employment Professionals,"Express Employment Professionals Mission, Vision & Values Express Employment Professionals Mission Statement To share our passion for improving quality of life through innovative healthcare — one person, one family and one community at a time.Express Employment Professionals Values Make integrity and accountability your pledge.Share our passion for excellence.Be uncompromising in delivering quality care.Express Employment Professionals Mission, Vision & Values"
"U.S. Xpress, Inc.",null
Military Sealift Command,null
Baptist Health Lexington,null
Santa Ana College,null
College of Saint Benedict and Saint John’s University,null
Triad,"Triad Mission, Vision & Values Triad Mission Statement Be the best digital monetization partner for the world’s top retailers by continuing to pioneer how leading brands engage, inform & inspire shoppers to purchase.Triad ValuesBOLDDRIVENCOLLABORATIVEHONEST Triad Mission, Vision & Values"
Fordham University School of Law,null
Cleveland-Cliffs,null
University of Texas at Tyler,null
Alpha Kappa Psi,null
Hawaii State Department of Education,null
Chromalloy,null
Slingshot,null
Peoria Unified School District,null
Eagle Mountain-Saginaw ISD,null
The Scooter Store,null
Publicis Health Media,null
Kindred,"Kindred Healthcare Mission, Vision & Values Kindred Healthcare Mission & Values Kindred Healthcare’s mission is to promote healing, provide hope, preserve dignity and produce value for each patient, resident, family member, customer, employee and shareholder we serve.Kindred Healthcare Mission, Vision & Values"
FRITO LAY INC,null
VyStar Credit Union,"Vy Star Credit Union Mission, Vision & Values Vy Star Credit Union Mission Statement The mission of Vy Star Credit Union is to focus on serving the financial needs of our members by providing quality services while maintaining fiscal soundness.Vy Star Credit Union Vision Statement The vision of Vy Star Credit Union is to be the primary financial institution for its members and to bring credit union services to more people.Vy Star Credit Union Values Integrity Trust Respect Caring Courage Dedication Loyalty Vy Star Credit Union Mission, Vision & Values"
UMass Memorial Medical Center,null
Chevrolet,"Chevrolet Mission, Vision & Values Chevrolet Mission Statement We Provide our Customers with the Best Buying and Servicing Experience in the Auto Industry Chevrolet Vision Statement Driven to Keep You Driving for Another 80 Years Chevrolet Values Our People-We Community Reputation Professionalism Work Ethic Chevrolet Mission, Vision & Values"
KIPP DC,null
Property Management,null
Baylor College of Medicine,null
City of Oceanside,null
Trinity Health,"Trinity Health Mission, Vision & Values Trinity Health Mission Statement We, Trinity Health, serve together in the spirit of the Gospel as a compassionate and transforming healing presence within our communities.Trinity Health Vision Statement As a mission-driven innovative health organization, we will become the national leader in improving the health of our communities and each person we serve. We will be the most trusted health partner for life.Trinity Health Values Reverence - We honor the sacredness and dignity of every person.Commitment to Those Who are Poor  - We stand with and serve those who are poor, especially those most vulnerable.Safety - We embrace a culture that prevents harm and nurtures a healing, safe environment for all.Justice - We foster right relationships to promote the common good, including sustainability of Earth.Stewardship - We honor our heritage and hold ourselves accountable for the human, financial and natural resources entrusted to our care.Integrity - We are faithful to who we say we are.Trinity Health Mission, Vision & Values"
College of DuPage,null
Upstart,"Upstart Mission, Vision & Values Upstart Mission Statement Our mission is to enable effortless credit based on true risk. Why? Because credit really matters. Money is a fundamental ingredient of life, and unless you’re in the few percent of Americans with significant wealth, the price of borrowing affects you everyday. Through all of history, affordable credit has been central to unlocking mobility and opportunity.Upstart Values Every second counts Do the right thing even when it's hard Make clever use of numbers Be smart and know you might be wrong Don't assume it can't be done Upstart Mission, Vision & Values"
School,null
"University of California, Irvine - The Paul Merage School of Business",null
CMS,null
"Cheniere Energy, Inc.",null
University of Cincinnati - College of Engineering and Applied Science,null
Walla Walla University,null
Hub Group,"Hub Group Mission, Vision & Values Hub Group Mission & Values We Are Hub Group. Our Mission Is To Build The Premier Customer-Centric Supply Chain Management Company.Hub Group Mission, Vision & Values"
Imagine Learning,null
Peapod,"Peapod Mission, Vision & Values Peapod Mission & Values We Make Your Life Easier We help you save time by offering: Fresh, quality products, priced fairly and delivered with friendly and reliable service A simple and effortless shopping experience that meets all your weekly grocery needs Inspiring content and clever tools to help you plan and shop for meals We give you time back to do the things you love. Our Passion To continually amaze and delight you, every single day. Our Promise Your satisfaction is 100% guaranteed, every order, every time. If you’re not happy, we make it right. That’s the Peapod promise.Peapod Mission, Vision & Values"
Psomas,null
Toast,"Toast Mission, Vision & Values Toast Mission Statement We empower the restaurant community to delight guests, do what they love, and thrive.Toast Vision Statement Enrich the food experience for all.Toast Values We're all in customer success.We embrace an ownership mindset.We're one team.We're driven by purpose and impact.We lead with humility.We're hungry to build and learn.We raise the bar.Toast Mission, Vision & Values"
CDM Smith,"CDM Smith Mission, Vision & ValuesCDM Smith Mission Statement Our commitment to a sustainable future and our dedicated employees who provide lasting solutions to meet your needs.CDM Smith Vision StatementCDM Smith will be a global water, environment, transportation, energy and facilities firm committed to exceptional client service to improve the natural and built environments.CDM Smith Values Excellence Initiative Integrity Shared Commitment TeamworkCDM Smith Mission, Vision & Values"
Disney Store,null
Pasadena City College,null
Kohler Co.,null
San Francisco Opera,null
Michaels Stores,"Family Dollar Stores Mission, Vision & Values Family Dollar Stores Mission Statement Our mission is to provide amazing values and a great shopping experience to our customers in every store, every day. Our diverse and high performing organization made up of engaged, productive associates help us deliver on all aspects of our mission and drive consistent, profitable growth.Family Dollar Stores Vision Statement The best small-format value and convenience retailer serving the needs of customer in the neighborhoods we serve.Family Dollar Stores Values Serve with Accountability Inspire Belonging Champion Empowerment Operate with Excellence Act with Integrity Family Dollar Stores Mission, Vision & Values"
Vinfen,null
University of Minnesota Physicians,null
City of Milwaukee,null
Crothall Healthcare,null
Dysart Unified School District,null
Samaritan Health Services,null
Continental,"Continental Mission, Vision & Values Continental Mission & Values Trust Passion To Win Freedom To Act For One Another Continental Mission, Vision & Values"
University of Virginia School of Medicine,null
EEOC,null
